Country,State_Name,Years_in_US,Education_Group,Total_People,Sum_Mortgages,Sum_Income,Sum_Rent,Total_Renters,State_Rent_Benchmark,Mortgaged_Ownership_Rate,Avg_Income,Avg_Rent_Paid_Renters,Rent_Performance_Ratio
Bangladesh,California,4,1_Low (No/Primary),873.0,0.0,1803000.0,1216800.0,873.0,1532.5372706520725,0.0,2065.2920962199314,1393.8144329896907,0.9094815895711579
Bangladesh,California,4,2_Some High School,338.0,0.0,902000.0,442200.0,338.0,1532.5372706520725,0.0,2668.639053254438,1308.284023668639,0.853671913056955
Bangladesh,California,4,3_HS Graduate,1093.0,0.0,7999000.0,1868350.0,1093.0,1532.5372706520725,0.0,7318.389752973468,1709.3778591033852,1.1153907261100864
Bangladesh,California,4,4_Some College,575.0,59.0,12659600.0,339880.0,360.0,1532.5372706520725,10.26086956521739,22016.695652173912,944.1111111111111,0.6160444702982039
Bangladesh,California,4,5_College+ (Bachelor or Higher),3231.0,412.0,99525260.0,4312790.0,2819.0,1532.5372706520725,12.751470133085732,30803.23738780563,1529.9006739978715,0.9982795872539667
Bangladesh,California,5,1_Low (No/Primary),224.0,0.0,0.0,226200.0,143.0,1532.5372706520725,0.0,0.0,1581.8181818181818,1.03215641936404
Bangladesh,California,5,2_Some High School,104.0,0.0,0.0,174800.0,104.0,1532.5372706520725,0.0,0.0,1680.7692307692307,1.0967232333958754
Bangladesh,California,5,3_HS Graduate,984.0,328.0,5760000.0,614500.0,415.0,1532.5372706520725,33.33333333333333,5853.658536585366,1480.7228915662652,0.9661904606967496
Bangladesh,California,5,4_Some College,327.0,56.0,1487900.0,191700.0,111.0,1532.5372706520725,17.12538226299694,4550.152905198776,1727.027027027027,1.1269070319524446
Bangladesh,California,5,5_College+ (Bachelor or Higher),3729.0,715.0,246235220.0,5053620.0,2650.0,1532.5372706520725,19.174041297935105,66032.50737463127,1907.0264150943397,1.2443589148621015
Bangladesh,California,6,1_Low (No/Primary),540.0,0.0,2573000.0,429400.0,402.0,1532.5372706520725,0.0,4764.814814814815,1068.1592039800994,0.6969874236896132
Bangladesh,California,6,3_HS Graduate,587.0,216.0,12813000.0,485200.0,303.0,1532.5372706520725,36.79727427597956,21827.93867120954,1601.3201320132014,1.0448816891297286
Bangladesh,California,6,4_Some College,636.0,0.0,8493340.0,759400.0,572.0,1532.5372706520725,0.0,13354.308176100629,1327.6223776223776,0.8662904342009858
Bangladesh,California,6,5_College+ (Bachelor or Higher),3238.0,905.0,174872100.0,3652710.0,2193.0,1532.5372706520725,27.949351451513284,54006.20753551575,1665.6224350205198,1.086839757125007
Bangladesh,California,7,1_Low (No/Primary),436.0,0.0,0.0,886500.0,436.0,1532.5372706520725,0.0,0.0,2033.2568807339449,1.3267258941564426
Bangladesh,California,7,2_Some High School,303.0,0.0,1194000.0,388500.0,303.0,1532.5372706520725,0.0,3940.5940594059407,1282.1782178217823,0.8366375437487624
Bangladesh,California,7,3_HS Graduate,1864.0,405.0,35422400.0,2283000.0,1271.0,1532.5372706520725,21.7274678111588,19003.43347639485,1796.2234461054288,1.1720585727361539
Bangladesh,California,7,4_Some College,1177.0,161.0,16769700.0,1477990.0,1016.0,1532.5372706520725,13.678844519966017,14247.833474936278,1454.7145669291338,0.9492196991138582
Bangladesh,California,7,5_College+ (Bachelor or Higher),4020.0,381.0,149710360.0,6145060.0,3639.0,1532.5372706520725,9.477611940298507,37241.383084577115,1688.6672162682055,1.1018767690717903
Bangladesh,California,8,1_Low (No/Primary),1352.0,673.0,12558500.0,925920.0,679.0,1532.5372706520725,49.778106508875744,9288.831360946746,1363.6524300441827,0.8898005002279443
Bangladesh,California,8,2_Some High School,399.0,160.0,3520000.0,207220.0,239.0,1532.5372706520725,40.100250626566414,8822.05513784461,867.0292887029289,0.565747603863507
Bangladesh,California,8,3_HS Graduate,1693.0,95.0,36248500.0,2015400.0,1423.0,1532.5372706520725,5.611340815121086,21410.809214412286,1416.3035839775123,0.9241560457285947
Bangladesh,California,8,4_Some College,957.0,85.0,12836600.0,783200.0,776.0,1532.5372706520725,8.881922675026123,13413.37513061651,1009.2783505154639,0.6585669202589968
Bangladesh,California,8,5_College+ (Bachelor or Higher),2046.0,292.0,129208900.0,2961060.0,1673.0,1532.5372706520725,14.271749755620725,63151.9550342131,1769.9103407053199,1.1548889378411322
Bangladesh,California,9,2_Some High School,264.0,0.0,11150000.0,490600.0,223.0,1532.5372706520725,0.0,42234.84848484849,2200.0,1.4355278935982625
Bangladesh,California,9,3_HS Graduate,1069.0,280.0,13190300.0,838950.0,654.0,1532.5372706520725,26.192703461178674,12338.914873713751,1282.7981651376147,0.8370420672325982
Bangladesh,California,9,4_Some College,912.0,0.0,50613000.0,2264800.0,845.0,1532.5372706520725,0.0,55496.71052631579,2680.2366863905327,1.7488884203449948
Bangladesh,California,9,5_College+ (Bachelor or Higher),3812.0,1855.0,475696500.0,2498560.0,1623.0,1532.5372706520725,48.66211962224554,124789.21825813221,1539.4701170671597,1.0045237701867684
Bangladesh,California,10,1_Low (No/Primary),199.0,124.0,3100000.0,75000.0,75.0,1532.5372706520725,62.311557788944725,15577.88944723618,1000.0,0.6525126789083011
Bangladesh,California,10,2_Some High School,370.0,308.0,3244800.0,99200.0,62.0,1532.5372706520725,83.24324324324324,8769.72972972973,1600.0,1.044020286253282
Bangladesh,California,10,3_HS Graduate,1530.0,493.0,30092400.0,963640.0,806.0,1532.5372706520725,32.22222222222222,19668.235294117647,1195.5831265508684,0.7801331487632696
Bangladesh,California,10,4_Some College,582.0,125.0,13907200.0,652440.0,418.0,1532.5372706520725,21.477663230240548,23895.53264604811,1560.8612440191387,1.0184817517390716
Bangladesh,California,10,5_College+ (Bachelor or Higher),3436.0,1191.0,151832100.0,4049970.0,2060.0,1532.5372706520725,34.66239813736903,44188.62048894063,1966.004854368932,1.2828430942709963
Bangladesh,California,11,1_Low (No/Primary),433.0,134.0,7615000.0,462000.0,220.0,1532.5372706520725,30.94688221709007,17586.60508083141,2100.0,1.3702766257074324
Bangladesh,California,11,2_Some High School,789.0,109.0,0.0,1476450.0,625.0,1532.5372706520725,13.814955640050696,0.0,2362.32,1.541443751638658
Bangladesh,California,11,3_HS Graduate,1329.0,415.0,25752570.0,1282650.0,716.0,1532.5372706520725,31.22648607975922,19377.404063205417,1791.4106145251396,1.1689181391085648
Bangladesh,California,11,4_Some College,1761.0,642.0,16259500.0,1208800.0,977.0,1532.5372706520725,36.45655877342419,9233.106189664963,1237.2569089048106,0.8073258201272819
Bangladesh,California,11,5_College+ (Bachelor or Higher),5248.0,2451.0,221789390.0,6661200.0,2601.0,1532.5372706520725,46.703506097560975,42261.69778963415,2561.014994232987,1.671094754611294
Bangladesh,California,12,2_Some High School,165.0,45.0,288000.0,156000.0,120.0,1532.5372706520725,27.27272727272727,1745.4545454545455,1300.0,0.8482664825807915
Bangladesh,California,12,3_HS Graduate,890.0,111.0,24988600.0,1451600.0,779.0,1532.5372706520725,12.47191011235955,28077.078651685395,1863.4146341463415,1.2159016748437612
Bangladesh,California,12,4_Some College,1505.0,137.0,31515000.0,1932310.0,1368.0,1532.5372706520725,9.102990033222591,20940.19933554817,1412.5073099415204,0.9216789287874995
Bangladesh,California,12,5_College+ (Bachelor or Higher),2287.0,1256.0,166845500.0,1601060.0,1031.0,1532.5372706520725,54.91910800174902,72953.86969829471,1552.9194956353056,1.0132996602259212
Bangladesh,California,13,1_Low (No/Primary),292.0,69.0,5382200.0,277200.0,154.0,1532.5372706520725,23.63013698630137,18432.19178082192,1800.0,1.1745228220349422
Bangladesh,California,13,2_Some High School,331.0,120.0,5704400.0,110400.0,92.0,1532.5372706520725,36.25377643504532,17233.83685800604,1200.0,0.7830152146899614
