CONTROL,WEIGHT,TENURE,INCOME,RENT,MORT_AMT,HOME_VAL,MOVE_YEAR,DIVISION,METRO,TOTROOMS,PERPOVLVL,SOURCE,SURVEY_YEAR,IS_OWNER,IS_RENTER,EDU_TIER,YEARS_US,DIV_MEDIAN_RENT,Rp,LATE_PAYMENT_FLAG,EVICTION_THREAT,HOUSING_DISTRESS,E_norm,T_norm,HC_WCI
11040791,3561.073443,2,28000.0,1400.0,,,2019.0,9,31080,3,79.0,AHS_2023,2023,0,1,2.0,4.0,1700.0,0.8235294117647058,0.0,0.0,0.0,0.25,0.13333333333333333,0.40228758169934636
11040792,2877.4053855,2,60000.0,2000.0,,,2021.0,9,31080,3,386.0,AHS_2023,2023,0,1,5.0,2.0,1700.0,1.1764705882352942,0.0,0.0,0.0,1.0,0.06666666666666667,0.7477124183006537
11040794,3561.073443,2,35000.0,800.0,,,1998.0,9,31080,4,175.0,AHS_2023,2023,0,1,1.0,25.0,1700.0,0.47058823529411764,0.0,0.0,0.0,0.0,0.8333333333333334,0.434640522875817
11040795,529.98681737,2,18000.0,30.0,,,1995.0,9,31080,4,99.0,AHS_2023,2023,0,1,3.0,28.0,1700.0,0.01764705882352941,0.0,0.0,0.0,0.5,0.9333333333333333,0.4836601307189543
11040796,3584.7873055,2,74000.0,2400.0,,,2020.0,9,31080,4,371.0,AHS_2023,2023,0,1,4.0,3.0,1700.0,1.411764705882353,,,,0.75,0.1,0.7539215686274511
11040798,2248.5268045,1,100000.0,,3931.0,1136238.0,2017.0,9,31080,8,319.0,AHS_2023,2023,1,0,5.0,6.0,1700.0,,,,,1.0,0.2,
11040800,2049.8208284,2,30400.0,660.0,,,2015.0,9,31080,4,130.0,AHS_2023,2023,0,1,4.0,8.0,1700.0,0.38823529411764707,0.0,0.0,0.0,0.75,0.26666666666666666,0.4683006535947712
11040801,1810.9483551,2,14110.0,660.0,,,2022.0,9,31080,5,98.0,AHS_2023,2023,0,1,2.0,1.0,1700.0,0.38823529411764707,,,,0.25,0.03333333333333333,0.22385620915032678
11040802,3561.073443,2,32300.0,1800.0,,,2021.0,9,31080,4,138.0,AHS_2023,2023,0,1,1.0,2.0,1700.0,1.0588235294117647,0.0,0.0,0.0,0.0,0.06666666666666667,0.37516339869281046
11040804,3297.59697,2,1800.0,1400.0,,,2018.0,9,31080,5,6.0,AHS_2023,2023,0,1,3.0,5.0,1700.0,0.8235294117647058,0.0,0.0,0.0,0.5,0.16666666666666666,0.49673202614379086
