yy1,y1,WEIGHT,hhsex,age,agecl,educ,edcl,race,lf,married,kids,INCOME,inccat,NETWORTH,nwcat,housecl,mrthel,rent,turndown,turnfear,late,checking,saving,fin,debt,SURVEY_YEAR,SOURCE,IS_OWNER,IS_RENTER,CREDIT_EXCLUDED,EDU_TIER,Rp
2260,22601,959.3309748065024,1,39,2,3,1,3,1,1,2,249032.2217816382,6,1960911.6821192054,5,1,0.0,602.7867549668874,0,0,0,266.61721854304636,428.90596026490067,695.523178807947,6955.23178807947,2019,SCF,1,0,0.0,2,0.029046205377974064
2261,22611,8543.964600849813,2,83,6,5,1,1,0,2,0,12982.722462549857,1,116639.23708609272,2,1,6491.549668874172,,0,0,0,255.0251655629139,0.0,255.0251655629139,6491.549668874172,2019,SCF,1,0,0.0,2,
2262,22621,3871.5156855317327,1,62,4,7,1,1,1,1,0,106222.27469358973,4,1133355.0198675497,4,1,0.0,,0,0,0,11592.05298013245,0.0,707115.2317880795,0.0,2019,SCF,1,0,0.0,2,
2263,22631,6448.76687339137,1,64,4,11,3,1,0,1,0,100321.03721061251,4,555827.3483443708,4,1,75348.34437086093,,0,0,0,1506.9668874172185,927.364238410596,329909.8278145695,75707.69801324503,2019,SCF,1,0,0.0,4,
2264,22641,5563.570891444091,1,39,2,13,4,2,1,2,0,135728.46210847577,4,351124.44397350994,3,1,572647.417218543,,0,0,0,0.0,0.0,119399.30490066225,636403.7086092716,2019,SCF,1,0,0.0,5,
2265,22651,2351.7917731992884,1,53,3,14,4,1,1,1,0,4024643.963390456,6,10829759.57615894,5,1,70827.44370860927,,0,0,0,40572.18543046358,479910.99337748345,1066468.8741721853,70827.44370860927,2019,SCF,1,0,0.0,5,
2266,22661,3868.021475831973,1,43,2,2,1,5,1,2,0,20064.207442122508,1,3187.8145695364237,1,2,0.0,521.6423841059602,0,0,0,0.0,0.0,57.96026490066225,0.0,2019,SCF,0,1,0.0,2,0.3119838462260902
2267,22671,5190.068028167303,1,67,5,9,3,1,1,1,0,448494.0487062678,6,3553694.5377483442,5,1,77666.75496688741,,0,0,0,12171.655629139073,0.0,1478948.8953642384,92736.4238410596,2019,SCF,1,0,0.0,4,
2268,22681,5852.916547488251,1,57,4,8,2,1,1,1,0,87338.31474806268,4,206512.42384105962,3,1,49845.82781456954,,0,0,0,1854.728476821192,0.0,31994.066225165563,93837.66887417219,2019,SCF,1,0,0.0,3,
2269,22691,4457.244711223734,1,72,5,8,2,1,0,2,1,56651.879836581196,3,656689.8013245033,4,1,10316.927152317881,,0,0,1,1564.9271523178809,4694.781456953642,515150.8344370861,10316.927152317881,2019,SCF,1,0,0.0,3,
2270,22701,393.66754971857983,1,82,6,9,3,1,1,1,0,480360.73111434473,6,89146017.27152318,5,1,0.0,,0,0,0,222567.41721854304,0.0,222567.41721854304,0.0,2019,SCF,1,0,0.0,4,
2271,22711,5853.919823005132,1,63,4,12,4,1,1,1,0,1475309.370744302,6,10672803.178807948,5,1,0.0,,0,0,0,347761.5894039735,115920.5298013245,8809960.264900662,3477.615894039735,2019,SCF,1,0,0.0,5,
2272,22721,5320.558785646049,1,35,2,12,4,1,0,1,2,143990.19458464385,4,145943.94701986754,3,1,431224.37086092716,,0,0,0,3709.456953642384,7534.834437086092,86940.39735099337,476433.3774834437,2019,SCF,1,0,0.0,5,
2273,22731,4861.957431287835,1,69,5,13,4,1,0,1,0,250212.4692782336,6,1049080.7947019867,4,1,0.0,,0,0,0,57960.26490066225,0.0,202860.9271523179,0.0,2019,SCF,1,0,0.0,5,
2274,22741,7410.341515258733,1,41,2,13,4,3,1,1,1,215985.29187696584,5,1460482.7549668874,5,1,811443.7086092716,,0,0,0,19126.887417218542,46368.2119205298,539610.0662251656,909976.1589403973,2019,SCF,1,0,0.0,5,
2275,22751,5451.211146194048,1,59,4,9,3,3,1,2,0,35407.424897863246,2,57693.647682119205,2,1,81144.37086092716,,0,0,1,81.14437086092715,0.0,81.14437086092715,93084.18543046358,2019,SCF,1,0,0.0,4,
2276,22761,4858.543077455126,1,49,3,9,3,1,1,2,0,33046.92990467237,2,-11592.05298013245,1,2,0.0,1159.205298013245,0,0,0,17388.079470198674,0.0,17388.079470198674,28980.132450331126,2019,SCF,0,1,0.0,4,0.4209305861780582
2277,22771,6341.394299764256,1,50,3,12,4,5,1,1,2,70814.84979572649,3,225697.27152317882,3,1,336169.5364238411,,0,1,0,11592.05298013245,17388.079470198674,28980.132450331126,366656.6357615894,2019,SCF,1,0,1.0,5,
2278,22781,8106.67950800028,1,54,3,1,1,3,1,1,2,38948.16738764957,2,319361.059602649,3,1,0.0,,0,0,0,1159.205298013245,4173.139072847682,5332.3443708609275,26661.721854304637,2019,SCF,1,0,0.0,2,
